,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track
17,18,17,3,Austin Dillon,Dow / World Water Day (Richard Childress),Chevrolet,314,running,0,19,0,Phoenix
18,19,24,6,Trevor Bayne,AdvoCare (Jack Roush),Ford,314,running,0,18,0,Phoenix
19,20,10,5,Kasey Kahne,Great Clips (Rick Hendrick),Chevrolet,314,running,0,17,0,Phoenix
20,21,18,27,Paul Menard,FVP / Menards (Richard Childress),Chevrolet,314,running,0,16,0,Phoenix
21,22,26,10,Danica Patrick,TaxAct (Stewart Haas Racing),Ford,314,running,0,15,0,Phoenix
22,23,2,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,314,running,0,21,0,Phoenix
23,24,25,95,Michael McDowell,WRL General Contractors (Leavine Family Racing),Chevrolet,314,running,0,13,0,Phoenix
24,25,11,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,314,running,1,12,0,Phoenix
25,26,20,47,A.J. Allmendinger,Fry's ClickList / Velveeta / Nature Valley (JTG-Daugherty Racing),Chevrolet,314,running,0,11,0,Phoenix
26,27,33,37,Chris Buescher,Scott Products / Crest / Bush's Beans (JTG-Daugherty Racing),Chevrolet,314,running,1,10,0,Phoenix
27,28,29,34,Landon Cassill,Starkey Hearing Foundation (Bob Jenkins),Ford,313,running,0,9,0,Phoenix
28,29,30,32,Matt DiBenedetto,Can-Am / Kappa (Archie St. Hilaire),Ford,313,running,0,8,0,Phoenix
29,30,35,15,Reed Sorenson,Premium Motorsports (Jay Robinson),Chevrolet,312,running,1,7,0,Phoenix
30,31,1,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,307,crash,82,16,1,Phoenix
31,32,39,51,Timmy Hill,Spoonful of Music Foundation / Bubba Burger (Rick Ware),Chevrolet,307,running,0,0,0,Phoenix
32,33,37,55,Derrike Cope,Ashurst American Honey (Jay Robinson),Chevrolet,307,running,0,4,0,Phoenix
33,34,32,72,Cole Whitt,Standard Plumbing Supply (Mark Smith),Chevrolet,256,crash,0,3,0,Phoenix
34,35,34,38,David Ragan,Jacob Companies (Bob Jenkins),Ford,204,crash,0,2,0,Phoenix
35,36,36,23,Gray Gaulding,SunFrog.com (BK Racing),Toyota,201,crash,0,1,0,Phoenix
36,37,12,20,Matt Kenseth,Tide Pods (Joe Gibbs),Toyota,190,crash,0,1,0,Phoenix
37,38,31,83,Corey LaJoie,BK Racing Graphics (BK Racing),Toyota,115,crash,0,1,0,Phoenix
38,39,38,33,Jeffrey Earnhardt,NiceRide Apparel (Joe Falk),Chevrolet,9,transmission,0,1,0,Phoenix
0,1,1,42,Kyle Larson,Target / Cottonelle (Chip Ganassi),Chevrolet,202,running,110,59,6,Fontana
1,2,3,2,Brad Keselowski,Wurth (Roger Penske),Ford,202,running,0,36,0,Fontana
2,3,17,14,Clint Bowyer,Rush Truck Centers (Stewart Haas Racing),Ford,202,running,0,46,0,Fontana
3,4,4,78,"Martin Truex, Jr.",Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,202,running,73,52,1,Fontana
4,5,35,22,Joey Logano,AAA Southern California (Roger Penske),Ford,202,running,1,39,0,Fontana
5,6,8,1,Jamie McMurray,McDonald's All American Games (Chip Ganassi),Chevrolet,202,running,0,43,0,Fontana
6,7,10,19,Daniel Suarez,Subway (Joe Gibbs),Toyota,202,running,0,30,0,Fontana
7,8,9,18,Kyle Busch,Interstate Batteries (Joe Gibbs),Toyota,202,running,7,39,0,Fontana
8,9,19,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,202,running,0,30,0,Fontana
9,10,13,24,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,202,running,4,43,0,Fontana
10,11,11,3,Austin Dillon,American Ethanol E15 (Richard Childress),Chevrolet,202,running,0,26,0,Fontana
11,12,14,77,Erik Jones,Toyota Service Centers (Barney Visser),Toyota,202,running,0,34,0,Fontana
12,13,7,4,Kevin Harvick,Busch Beer (Stewart Haas Racing),Ford,202,running,0,24,0,Fontana
13,14,2,11,Denny Hamlin,Sport Clips (Joe Gibbs),Toyota,202,running,4,26,0,Fontana
14,15,5,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,202,running,0,22,0,Fontana
15,16,18,88,"Dale Earnhardt, Jr.",Axalta / Service King (Rick Hendrick),Chevrolet,202,running,0,21,0,Fontana
16,17,24,47,A.J. Allmendinger,Ralph's ClickList / Oscar Mayer (JTG-Daugherty Racing),Chevrolet,202,running,0,20,0,Fontana
17,18,21,13,Ty Dillon,Twisted Tea (Germain Racing),Chevrolet,202,running,1,19,0,Fontana
18,19,31,43,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,202,running,0,18,0,Fontana
19,20,12,5,Kasey Kahne,Farmers Insurance (Rick Hendrick),Chevrolet,202,running,0,17,0,Fontana
20,21,37,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,202,running,0,16,0,Fontana
21,22,16,17,"Ricky Stenhouse, Jr.",Fastenal 50th Anniversary (Jack Roush),Ford,202,running,0,15,0,Fontana
22,23,36,6,Trevor Bayne,AdvoCare (Jack Roush),Ford,202,running,0,14,0,Fontana
23,24,15,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,201,running,0,13,0,Fontana
24,25,20,37,Chris Buescher,Bush's Beans / Dawn (JTG-Daugherty Racing),Chevrolet,201,running,0,12,0,Fontana
25,26,22,10,Danica Patrick,Aspen Dental (Stewart Haas Racing),Ford,200,running,0,11,0,Fontana
26,27,26,34,Landon Cassill,Love's Travel Stops (Bob Jenkins),Ford,200,running,0,10,0,Fontana
27,28,23,27,Paul Menard,Jack Link's / Menards (Richard Childress),Chevrolet,200,running,2,9,0,Fontana
28,29,38,32,Matt DiBenedetto,Can-Am / Kappa (Archie St. Hilaire),Ford,200,running,0,8,0,Fontana
29,30,30,83,Corey LaJoie,Bubba Burger (BK Racing),Toyota,200,running,0,7,0,Fontana
30,31,27,38,David Ragan,Camping World / Good Sam (Bob Jenkins),Ford,199,running,0,6,0,Fontana
31,32,28,72,Cole Whitt,Southern California Chevy Dealers (Mark Smith),Chevrolet,199,running,0,5,0,Fontana
32,33,25,95,Michael McDowell,LFR Woodie Wagon (Leavine Family Racing),Chevrolet,198,running,0,4,0,Fontana
33,34,29,15,Reed Sorenson,VIPRacingExperience.com (Jay Robinson),Toyota,197,running,0,3,0,Fontana
34,35,34,51,Timmy Hill,Bubba Burger (Rick Ware),Chevrolet,193,running,0,0,0,Fontana
35,36,6,20,Matt Kenseth,Peak Antifreeze & Coolant (Joe Gibbs),Toyota,184,crash,0,1,0,Fontana
36,37,39,23,Gray Gaulding,SunFrog.com (BK Racing),Toyota,173,crash,0,1,0,Fontana
37,38,33,55,Derrike Cope,Premium Motorsports (Jay Robinson),Chevrolet,117,running,0,1,0,Fontana
38,39,32,33,Jeffrey Earnhardt,K1Speed (Joe Falk),Chevrolet,99,engine,0,1,0,Fontana
0,1,4,2,Brad Keselowski,Miller Lite (Roger Penske),Ford,500,running,116,55,5,Martinsville
1,2,10,18,Kyle Busch,M&M's (Joe Gibbs),Toyota,500,running,274,52,0,Martinsville
2,3,2,24,Chase Elliott,Sun Energy 1 (Rick Hendrick),Chevrolet,500,running,20,50,1,Martinsville
3,4,5,22,Joey Logano,Duralast GT (Roger Penske),Ford,500,running,1,33,0,Martinsville
4,5,20,3,Austin Dillon,Okuma (Richard Childress),Chevrolet,500,running,0,34,0,Martinsville
5,6,30,47,A.J. Allmendinger,Kroger ClickList / DiGiorno / Cheerios (JTG-Daugherty Racing),Chevrolet,500,running,0,31,0,Martinsville
