,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track
31,32,19,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,489,running,0,5,0,Martinsville
32,33,38,51,Timmy Hill,Go-Parts.com / Fortress Wood Products (Rick Ware),Chevrolet,486,running,0,0,0,Martinsville
33,34,21,88,"Dale Earnhardt, Jr.",Axalta (Rick Hendrick),Chevrolet,418,crash,0,8,0,Martinsville
34,35,28,32,Matt DiBenedetto,KeenParts.com / CorvetteParts.net (Archie St. Hilaire),Ford,401,crash,0,2,0,Martinsville
35,36,36,33,Jeffrey Earnhardt,Honor to Remember (Joe Falk),Chevrolet,385,crash,0,1,0,Martinsville
36,37,14,41,Kurt Busch,Monster Energy / Haas Automation (Stewart Haas Racing),Ford,295,crash,0,1,0,Martinsville
37,38,6,1,Jamie McMurray,Cessna / Beechcraft (Chip Ganassi),Chevrolet,105,crash,0,1,0,Martinsville
0,1,24,48,Jimmie Johnson,Lowe's / Hitachi (Rick Hendrick),Chevrolet,334,running,18,49,5,Fort Worth
1,2,32,42,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,334,running,0,47,0,Fort Worth
2,3,4,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,334,running,38,36,0,Fort Worth
3,4,1,4,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Ford,334,running,77,44,0,Fort Worth
4,5,37,88,"Dale Earnhardt, Jr.",Axalta (Rick Hendrick),Chevrolet,334,running,0,34,0,Fort Worth
5,6,5,2,Brad Keselowski,Miller Lite (Roger Penske),Ford,334,running,4,40,0,Fort Worth
6,7,6,1,Jamie McMurray,Sherwin-Williams Emerald / 3M (Chip Ganassi),Chevrolet,334,running,0,46,0,Fort Worth
7,8,7,78,"Martin Truex, Jr.",Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,334,running,49,39,0,Fort Worth
8,9,33,24,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,334,running,0,34,0,Fort Worth
9,10,10,41,Kurt Busch,Monster Energy / Haas Automation (Stewart Haas Racing),Ford,334,running,0,32,0,Fort Worth
10,11,3,14,Clint Bowyer,Haas Automation Demo Day (Stewart Haas Racing),Ford,334,running,0,30,0,Fort Worth
11,12,2,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,334,running,148,45,2,Fort Worth
12,13,12,6,Trevor Bayne,Performance Plus Motor Oil (Jack Roush),Ford,334,running,0,24,0,Fort Worth
13,14,11,17,"Ricky Stenhouse, Jr.",Ford EcoBoost (Jack Roush),Ford,334,running,0,26,0,Fort Worth
14,15,34,18,Kyle Busch,Interstate Batteries 65th Anniversary (Joe Gibbs),Toyota,334,running,0,23,0,Fort Worth
15,16,8,20,Matt Kenseth,"Toyota ""Let's Go Places"" (Joe Gibbs)",Toyota,334,running,0,21,0,Fort Worth
16,17,14,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,334,running,0,20,0,Fort Worth
17,18,18,43,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,334,running,0,19,0,Fort Worth
18,19,20,19,Daniel Suarez,Stanley Tools (Joe Gibbs),Toyota,334,running,0,18,0,Fort Worth
19,20,16,47,A.J. Allmendinger,Kroger ClickList / Hot Pockets / Cheerios (JTG-Daugherty Racing),Chevrolet,334,running,0,17,0,Fort Worth
20,21,38,37,Chris Buescher,Scott Products / Tyson / Hellmann's / Crest (JTG-Daugherty Racing),Chevrolet,333,running,0,16,0,Fort Worth
21,22,36,77,Erik Jones,5-hour Energy Extra Strength (Barney Visser),Toyota,333,running,0,15,0,Fort Worth
22,23,13,95,Michael McDowell,WRL General Contractors (Leavine Family Racing),Chevrolet,333,running,0,14,0,Fort Worth
23,24,19,10,Danica Patrick,TaxAct (Stewart Haas Racing),Ford,333,running,0,13,0,Fort Worth
24,25,17,11,Denny Hamlin,FedEx Office (Joe Gibbs),Toyota,333,running,0,12,0,Fort Worth
25,26,9,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,332,running,0,11,0,Fort Worth
26,27,27,7,J.J. Yeley,"Accell Construction (Tommy Baldwin, Jr.)",Chevrolet,330,running,0,0,0,Fort Worth
27,28,21,38,David Ragan,Camping World / Good Sam (Bob Jenkins),Ford,329,running,0,9,0,Fort Worth
28,29,15,34,Landon Cassill,Love's Travel Stops / WinStar World Casino (Bob Jenkins),Ford,329,running,0,8,0,Fort Worth
29,30,28,72,Cole Whitt,RTIC Coolers (Mark Smith),Chevrolet,327,running,0,7,0,Fort Worth
30,31,26,32,Matt DiBenedetto,Can-Am / Kappa (Archie St. Hilaire),Ford,327,running,0,6,0,Fort Worth
31,32,23,83,Corey LaJoie,Dustless Blasting (BK Racing),Toyota,326,running,0,5,0,Fort Worth
32,33,25,3,Austin Dillon,Dow Energy & Water (Richard Childress),Chevrolet,322,running,0,4,0,Fort Worth
33,34,29,23,Gray Gaulding,Dr. Pepper (BK Racing),Toyota,322,running,0,3,0,Fort Worth
34,35,30,15,Reed Sorenson,Xchange of America (Jay Robinson),Chevrolet,319,running,0,2,0,Fort Worth
35,36,22,27,Paul Menard,Dutch Boy / Menards (Richard Childress),Chevrolet,314,running,0,1,0,Fort Worth
36,37,40,55,Derrike Cope,Low T Centers (Jay Robinson),Toyota,313,running,0,1,0,Fort Worth
37,38,35,5,Kasey Kahne,Farmers Insurance (Rick Hendrick),Chevrolet,303,running,0,1,0,Fort Worth
38,39,39,51,Timmy Hill,Fenton Motors (Rick Ware),Chevrolet,104,engine,0,0,0,Fort Worth
39,40,31,33,Jeffrey Earnhardt,Superior Logistics / Chris Kyle Memorial (Joe Falk),Chevrolet,9,crash,0,1,0,Fort Worth
0,1,11,48,Jimmie Johnson,Lowe's / A.O. Smith (Rick Hendrick),Chevrolet,500,running,81,54,5,Bristol
1,2,9,14,Clint Bowyer,Haas Automation Demo Day (Stewart Haas Racing),Ford,500,running,0,35,0,Bristol
2,3,10,4,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Ford,500,running,14,41,0,Bristol
3,4,22,20,Matt Kenseth,DeWalt FlexVolt (Joe Gibbs),Toyota,500,running,0,33,0,Bristol
4,5,5,22,Joey Logano,AutoTrader (Roger Penske),Ford,500,running,72,48,0,Bristol
5,6,1,42,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,500,running,202,45,1,Bristol
6,7,2,24,Chase Elliott,Mountain Dew / Little Caesars (Rick Hendrick),Chevrolet,500,running,0,35,0,Bristol
7,8,3,78,"Martin Truex, Jr.",Furniture Row / Denver Mattress (Barney Visser),Toyota,500,running,116,48,1,Bristol
8,9,19,17,"Ricky Stenhouse, Jr.",Sunny D (Jack Roush),Ford,500,running,0,29,0,Bristol
9,10,16,11,Denny Hamlin,FedEx Freight (Joe Gibbs),Toyota,500,running,10,33,0,Bristol
10,11,12,6,Trevor Bayne,AdvoCare (Jack Roush),Ford,500,running,0,28,0,Bristol
11,12,8,1,Jamie McMurray,Bass Pro Shops / NWTF (Chip Ganassi),Chevrolet,500,running,0,35,0,Bristol
12,13,21,3,Austin Dillon,New Era Cap (Richard Childress),Chevrolet,500,running,0,24,0,Bristol
13,14,13,31,Ryan Newman,Grainger (Richard Childress),Chevrolet,500,running,0,23,0,Bristol
14,15,24,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,500,running,0,22,0,Bristol
15,16,26,27,Paul Menard,Libman / Menards (Richard Childress),Chevrolet,499,running,0,21,0,Bristol
16,17,14,77,Erik Jones,Sport Clips (Barney Visser),Toyota,499,running,0,33,0,Bristol
17,18,23,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,498,running,0,19,0,Bristol
18,19,32,32,Matt DiBenedetto,Cosmo Motors (Archie St. Hilaire),Ford,498,running,0,18,0,Bristol
19,20,17,5,Kasey Kahne,Great Clips (Rick Hendrick),Chevrolet,498,running,0,17,0,Bristol
20,21,31,72,Cole Whitt,RTIC Coolers (Mark Smith),Chevrolet,498,running,0,16,0,Bristol
21,22,18,43,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,497,running,0,15,0,Bristol
22,23,33,38,David Ragan,Jacob Companies (Bob Jenkins),Ford,497,running,0,14,0,Bristol
23,24,35,83,Corey LaJoie,JAS Expedited Trucking (BK Racing),Toyota,497,running,0,13,0,Bristol
24,25,15,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,494,running,0,12,0,Bristol
25,26,28,95,Michael McDowell,WRL General Contractors (Leavine Family Racing),Chevrolet,494,running,0,11,0,Bristol
26,27,37,33,Jeffrey Earnhardt,Little Joe's Autos (Joe Falk),Chevrolet,491,running,0,10,0,Bristol
27,28,34,15,Reed Sorenson,Low T Centers (Jay Robinson),Chevrolet,490,running,0,9,0,Bristol
28,29,36,23,Gray Gaulding,SunFrog.com (BK Racing),Toyota,487,running,0,8,0,Bristol
29,30,25,47,A.J. Allmendinger,Kroger ClickList / Stouffer's / Cheerios (JTG-Daugherty Racing),Chevrolet,482,running,0,9,0,Bristol
30,31,39,55,Derrike Cope,Premium Motorsports (Jay Robinson),Toyota,465,running,0,6,0,Bristol
31,32,30,34,Landon Cassill,"CSX ""Play It Safe"" / Trees for Tracks (Bob Jenkins)",Ford,458,running,5,5,0,Bristol
32,33,6,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,452,running,0,4,0,Bristol
33,34,4,2,Brad Keselowski,Miller Lite (Roger Penske),Ford,433,running,0,3,0,Bristol
34,35,7,18,Kyle Busch,M&M's (Joe Gibbs),Toyota,383,crash,0,3,0,Bristol
35,36,29,10,Danica Patrick,Mobil 1 Annual Protection (Stewart Haas Racing),Ford,320,crash,0,1,0,Bristol
36,37,38,51,Timmy Hill,SleepFresh Mattress (Rick Ware),Chevrolet,234,suspension,0,0,0,Bristol
37,38,20,88,"Dale Earnhardt, Jr.",Nationwide Insurance (Rick Hendrick),Chevrolet,218,crash,0,1,0,Bristol
38,39,27,37,Chris Buescher,Bush's Beans / Scott Products / Kingsford (JTG-Daugherty Racing),Chevrolet,53,crash,0,1,0,Bristol
0,1,5,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,400,running,25,17,0,Richmond
1,2,15,2,Brad Keselowski,Detroit Genuine Parts (Roger Penske),Ford,400,running,110,50,1,Richmond
2,3,16,11,Denny Hamlin,FedEx Ground (Joe Gibbs),Toyota,400,running,59,47,0,Richmond
3,4,4,17,"Ricky Stenhouse, Jr.",Fifth Third Bank (Jack Roush),Ford,400,running,0,33,0,Richmond
4,5,6,4,Kevin Harvick,Busch Light (Stewart Haas Racing),Ford,400,running,11,47,0,Richmond
5,6,10,1,Jamie McMurray,GearWrench (Chip Ganassi),Chevrolet,400,running,0,38,0,Richmond
6,7,13,31,Ryan Newman,Okuma (Richard Childress),Chevrolet,400,running,25,39,0,Richmond
7,8,9,41,Kurt Busch,Mobil 1 Annual Protection (Stewart Haas Racing),Ford,400,running,0,29,0,Richmond
8,9,25,43,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,400,running,0,28,0,Richmond
9,10,3,78,"Martin Truex, Jr.",Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,400,running,0,35,0,Richmond
10,11,17,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,400,running,0,26,0,Richmond
11,12,11,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,400,running,0,25,0,Richmond
12,13,29,6,Trevor Bayne,AdvoCare (Jack Roush),Ford,400,running,0,24,0,Richmond
13,14,18,42,Kyle Larson,Credit One Bank (Chip Ganassi),Chevrolet,400,running,5,38,0,Richmond
14,15,8,14,Clint Bowyer,Haas Automation Demo Day (Stewart Haas Racing),Ford,400,running,0,27,0,Richmond
15,16,7,18,Kyle Busch,M&M's (Joe Gibbs),Toyota,400,running,1,21,0,Richmond
16,17,23,37,Chris Buescher,Kingsford / Bush's Beans / Dawn / Scott (JTG-Daugherty Racing),Chevrolet,400,running,0,20,0,Richmond
17,18,21,10,Danica Patrick,Code 3 Associates (Stewart Haas Racing),Ford,400,running,0,19,0,Richmond
18,19,30,38,David Ragan,Camping World / Good Sam (Bob Jenkins),Ford,400,running,0,18,0,Richmond
19,20,38,3,Austin Dillon,AAA.com (Richard Childress),Chevrolet,400,running,0,17,0,Richmond
20,21,28,34,Landon Cassill,The Pete Store (Bob Jenkins),Ford,400,running,0,16,0,Richmond
21,22,19,5,Kasey Kahne,AARP Drive to End Hunger (Rick Hendrick),Chevrolet,400,running,0,15,0,Richmond
22,23,1,20,Matt Kenseth,Circle K (Joe Gibbs),Toyota,400,running,164,33,1,Richmond
23,24,14,24,Chase Elliott,NAPA Brakes (Rick Hendrick),Chevrolet,400,running,0,13,0,Richmond
24,25,26,27,Paul Menard,Rockstar Energy / Menards (Richard Childress),Chevrolet,400,running,0,12,0,Richmond
25,26,24,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,400,running,0,13,0,Richmond
26,27,36,72,Cole Whitt,TriStar Motorsports (Mark Smith),Chevrolet,400,running,0,10,0,Richmond
27,28,32,32,Matt DiBenedetto,E.J. Wade Construction (Archie St. Hilaire),Ford,400,running,0,9,0,Richmond
28,29,27,95,Michael McDowell,WRL General Contractors (Leavine Family Racing),Chevrolet,399,running,0,8,0,Richmond
29,30,12,88,"Dale Earnhardt, Jr.",Nationwide Insurance (Rick Hendrick),Chevrolet,398,running,0,7,0,Richmond
30,31,31,23,Gray Gaulding,SweetFrog (BK Racing),Toyota,398,running,0,6,0,Richmond
31,32,34,83,Corey LaJoie,E.J. Wade Construction (BK Racing),Toyota,396,running,0,5,0,Richmond
32,33,33,15,Reed Sorenson,Premium Motorsports (Jay Robinson),Chevrolet,395,running,0,4,0,Richmond
33,34,37,51,Timmy Hill,SleepFresh Mattress (Rick Ware),Chevrolet,393,running,0,0,0,Richmond
34,35,35,33,Jeffrey Earnhardt,Towne Bank (Joe Falk),Chevrolet,392,running,0,2,0,Richmond
35,36,2,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,378,crash,0,1,0,Richmond
36,37,22,47,A.J. Allmendinger,Kroger ClickList / Butterfinger / Cheerios (JTG-Daugherty Racing),Chevrolet,333,running,0,1,0,Richmond
37,38,20,77,Erik Jones,GameStop / Prey (Barney Visser),Toyota,4,crash,0,1,0,Richmond
0,1,1,17,"Ricky Stenhouse, Jr.",Fifth Third Bank (Jack Roush),Ford,191,running,14,49,5,Talladega
1,2,23,1,Jamie McMurray,McDonald's $1 Any Size Soft Drink (Chip Ganassi),Chevrolet,191,running,0,36,0,Talladega
2,3,10,18,Kyle Busch,Skittles Red White & Blue (Joe Gibbs),Toyota,191,running,48,42,0,Talladega
3,4,22,43,Aric Almirola,Fresh From Florida (Richard Petty Motorsports),Ford,191,running,0,-2,0,Talladega
4,5,19,5,Kasey Kahne,UniFirst Uniforms (Rick Hendrick),Chevrolet,191,running,0,35,0,Talladega
5,6,15,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,191,running,0,35,0,Talladega
6,7,3,2,Brad Keselowski,Fitzgerald Glider Kits (Roger Penske),Ford,191,running,31,40,1,Talladega
7,8,30,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,191,running,3,35,0,Talladega
8,9,9,27,Paul Menard,Valvoline / Menards (Richard Childress),Chevrolet,191,running,1,32,0,Talladega
9,10,29,38,David Ragan,Camping World / Good Sam (Bob Jenkins),Ford,191,running,0,27,0,Talladega
10,11,11,11,Denny Hamlin,FedEx Express (Joe Gibbs),Toyota,191,running,43,36,1,Talladega
11,12,21,42,Kyle Larson,Share an Ice Cold Coke with Kyle (Chip Ganassi),Chevrolet,191,running,0,30,0,Talladega
12,13,28,13,Ty Dillon,GEICO (Germain Racing),Chevrolet,191,running,3,24,0,Talladega
13,14,17,14,Clint Bowyer,Haas Automation Demo Day (Stewart Haas Racing),Ford,191,running,10,23,0,Talladega
14,15,34,37,Chris Buescher,Velveeta / Breyers / Maxwell House (JTG-Daugherty Racing),Chevrolet,191,running,0,22,0,Talladega
15,16,38,72,Cole Whitt,RTIC Coolers (Mark Smith),Chevrolet,191,running,0,21,0,Talladega
16,17,35,7,Elliott Sadler,"Golden Corral (Tommy Baldwin, Jr.)",Chevrolet,191,running,2,0,0,Talladega
17,18,26,32,Matt DiBenedetto,E.J. Wade Foundation (Archie St. Hilaire),Ford,191,running,0,19,0,Talladega
18,19,7,19,Daniel Suarez,Arris High-Speed Modems (Joe Gibbs),Toyota,191,running,0,18,0,Talladega
19,20,37,23,Gray Gaulding,SunFrog.com (BK Racing),Toyota,191,running,0,17,0,Talladega
20,21,39,15,Joey Gase,Sparks Energy (Jay Robinson),Toyota,191,running,0,0,0,Talladega
21,22,2,88,"Dale Earnhardt, Jr.",Nationwide Insurance (Rick Hendrick),Chevrolet,191,running,0,15,0,Talladega
22,23,6,4,Kevin Harvick,Jimmy John's (Stewart Haas Racing),Ford,191,running,15,23,0,Talladega
23,24,4,20,Matt Kenseth,Circle K (Joe Gibbs),Toyota,190,running,4,13,0,Talladega
24,25,20,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,185,crash,2,12,0,Talladega
25,26,32,75,Brendan Gaughan,Beard Oil Distributing (Beard Motorsports),Chevrolet,183,running,0,0,0,Talladega
26,27,36,83,Corey LaJoie,Dustless Blasting (BK Racing),Toyota,183,running,0,10,0,Talladega
27,28,40,33,Jeffrey Earnhardt,Circle Sport Racing with TMG (Joe Falk),Chevrolet,174,engine,0,9,0,Talladega
28,29,25,34,Landon Cassill,Love's Travel Stops (Bob Jenkins),Ford,173,transmission,0,8,0,Talladega
29,30,8,24,Chase Elliott,Hooters (Rick Hendrick),Chevrolet,168,crash,0,7,0,Talladega
30,31,27,47,A.J. Allmendinger,Kroger ClickList / Coffeemate / Nature Valley (JTG-Daugherty Racing),Chevrolet,168,crash,0,6,0,Talladega
31,32,12,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,168,crash,10,10,0,Talladega
32,33,14,77,Erik Jones,ToyotaCare (Barney Visser),Toyota,168,crash,0,7,0,Talladega
33,34,24,95,Michael McDowell,Winn-Dixie (Leavine Family Racing),Chevrolet,168,crash,0,3,0,Talladega
34,35,13,78,"Martin Truex, Jr.",Bass Pro Shops / Tracker Boats (Barney Visser),Toyota,168,crash,0,16,0,Talladega
35,36,18,3,Austin Dillon,Dow Energy & Water / Intellifresh (Richard Childress),Chevrolet,168,crash,0,1,0,Talladega
36,37,5,6,Trevor Bayne,AdvoCare (Jack Roush),Ford,168,crash,5,7,0,Talladega
37,38,31,10,Danica Patrick,Aspen Dental (Stewart Haas Racing),Ford,168,crash,0,4,0,Talladega
38,39,16,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,160,crash,0,11,0,Talladega
39,40,33,55,Reed Sorenson,Xchange of America (Jay Robinson),Toyota,72,crash,0,1,0,Talladega
0,1,3,78,"Martin Truex, Jr.",Auto-Owners Insurance (Barney Visser),Toyota,267,running,104,57,5,Kansas
1,2,17,2,Brad Keselowski,Freightliner / Elite Support (Roger Penske),Ford,267,running,0,41,0,Kansas
2,3,8,4,Kevin Harvick,Busch Light (Stewart Haas Racing),Ford,267,running,10,38,0,Kansas
3,4,1,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,267,running,83,51,1,Kansas
4,5,5,18,Kyle Busch,M&M's / Walgreen's Red Nose Day (Joe Gibbs),Toyota,267,running,59,48,1,Kansas
5,6,9,42,Kyle Larson,Target / Cottonelle (Chip Ganassi),Chevrolet,267,running,0,47,0,Kansas
6,7,15,19,Daniel Suarez,Stanley Tools / Ace / CMN (Joe Gibbs),Toyota,267,running,0,30,0,Kansas
7,8,12,1,Jamie McMurray,McDonald's (Chip Ganassi),Chevrolet,267,running,0,36,0,Kansas
8,9,30,14,Clint Bowyer,Mobil 1 Annual Protection (Stewart Haas Racing),Ford,267,running,3,28,0,Kansas
9,10,16,6,Trevor Bayne,Roush Performance / Mel Hambelton Ford (Jack Roush),Ford,267,running,1,27,0,Kansas
10,11,4,17,"Ricky Stenhouse, Jr.",Go Bowling (Jack Roush),Ford,267,running,0,26,0,Kansas
11,12,14,20,Matt Kenseth,Circle K (Joe Gibbs),Toyota,267,running,0,28,0,Kansas
12,13,35,95,Michael McDowell,Tommy Williams Drywall (Leavine Family Racing),Chevrolet,267,running,0,24,0,Kansas
13,14,22,13,Ty Dillon,Twisted Tea (Germain Racing),Chevrolet,267,running,0,23,0,Kansas
14,15,31,5,Kasey Kahne,Farmers Insurance (Rick Hendrick),Chevrolet,267,running,0,28,0,Kansas
15,16,11,3,Austin Dillon,American Ethanol E15 (Richard Childress),Chevrolet,267,running,0,21,0,Kansas
16,17,34,38,David Ragan,Overton's (Bob Jenkins),Ford,267,running,0,20,0,Kansas
17,18,20,37,Chris Buescher,Scott Products / Kingsford / Bush's Beans (JTG-Daugherty Racing),Chevrolet,267,running,0,19,0,Kansas
18,19,6,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,267,running,3,19,0,Kansas
19,20,33,88,"Dale Earnhardt, Jr.",Mountain Dew DEW-S-A (Rick Hendrick),Chevrolet,267,running,2,17,0,Kansas
20,21,36,34,Landon Cassill,A&W All-American Food (Bob Jenkins),Ford,267,running,0,16,0,Kansas
21,22,32,77,Erik Jones,5-hour Energy Extra Strength (Barney Visser),Toyota,267,running,2,17,0,Kansas
22,23,7,11,Denny Hamlin,FedEx Freight (Joe Gibbs),Toyota,267,running,0,22,0,Kansas
23,24,29,48,Jimmie Johnson,Lowe's (Rick Hendrick),Chevrolet,267,running,0,18,0,Kansas
24,25,37,15,Reed Sorenson,Harrah's North Kansas City (Jay Robinson),Chevrolet,267,running,0,12,0,Kansas
25,26,26,72,Cole Whitt,RTIC Coolers (Mark Smith),Chevrolet,266,running,0,11,0,Kansas
26,27,38,83,Corey LaJoie,Dustless Blasting (BK Racing),Toyota,265,running,0,10,0,Kansas
27,28,39,51,Timmy Hill,Lilly Trucking (Rick Ware),Chevrolet,259,running,0,0,0,Kansas
28,29,10,24,Chase Elliott,NAPA Auto Parts (Rick Hendrick),Chevrolet,258,running,0,8,0,Kansas
29,30,21,47,A.J. Allmendinger,Dillons ClickList / Lean Cuisine (JTG-Daugherty Racing),Chevrolet,257,running,0,7,0,Kansas
30,31,40,66,Carl Long,Poker Palace (Carl Long),Chevrolet,256,running,0,0,0,Kansas
31,32,23,32,Matt DiBenedetto,IncredibleBank.com (Archie St. Hilaire),Ford,243,running,0,5,0,Kansas
32,33,27,33,Jeffrey Earnhardt,Curtis Key Plumbing (Joe Falk),Chevrolet,243,running,0,4,0,Kansas
33,34,25,23,Gray Gaulding,Dr. Pepper (BK Racing),Toyota,231,running,0,3,0,Kansas
34,35,18,27,Paul Menard,FVP / Menards (Richard Childress),Chevrolet,202,crash,0,2,0,Kansas
35,36,24,10,Danica Patrick,Wonder Woman / CSU / One Cure (Stewart Haas Racing),Ford,199,crash,0,1,0,Kansas
36,37,2,22,Joey Logano,AAA Insurance (Roger Penske),Ford,199,crash,0,2,0,Kansas
37,38,13,43,Aric Almirola,Smithfield (Richard Petty Motorsports),Ford,199,crash,0,1,0,Kansas
38,39,28,55,Derrike Cope,Premium Motorsports (Jay Robinson),Toyota,179,engine,0,1,0,Kansas
39,40,19,31,Ryan Newman,Caterpillar (Richard Childress),Chevrolet,154,oil pump,0,1,0,Kansas
0,1,22,3,Austin Dillon,Dow Salutes Veterans (Richard Childress),Chevrolet,400,running,2,45,5,Charlotte
1,2,2,18,Kyle Busch,"M&M's Red, White & Blue (Joe Gibbs)",Toyota,400,running,63,61,1,Charlotte
2,3,8,78,"Martin Truex, Jr.",Bass Pro Shops / Tracker Boats / USO (Barney Visser),Toyota,400,running,233,60,1,Charlotte
3,4,4,20,Matt Kenseth,Circle K (Joe Gibbs),Toyota,400,running,0,55,0,Charlotte
4,5,6,11,Denny Hamlin,FedEx Office (Joe Gibbs),Toyota,400,running,10,43,1,Charlotte
5,6,12,41,Kurt Busch,Haas Automation / Monster Energy (Stewart Haas Racing),Ford,400,running,1,44,0,Charlotte
6,7,5,77,Erik Jones,5-hour Energy Extra Strength (Barney Visser),Toyota,400,running,0,39,0,Charlotte
7,8,1,4,Kevin Harvick,Mobil 1 (Stewart Haas Racing),Ford,400,running,45,41,0,Charlotte
8,9,17,31,Ryan Newman,Grainger (Richard Childress),Chevrolet,400,running,0,28,0,Charlotte
9,10,19,88,"Dale Earnhardt, Jr.",Nationwide Patriotic (Rick Hendrick),Chevrolet,400,running,0,29,0,Charlotte
10,11,20,19,Daniel Suarez,Subway (Joe Gibbs),Toyota,400,running,0,29,0,Charlotte
11,12,11,1,Jamie McMurray,GearWrench (Chip Ganassi),Chevrolet,400,running,0,31,0,Charlotte
12,13,16,27,Paul Menard,Knauf / Menards (Richard Childress),Chevrolet,400,running,2,24,0,Charlotte
13,14,9,14,Clint Bowyer,Haas Automation (Stewart Haas Racing),Ford,400,running,0,26,0,Charlotte
14,15,13,17,"Ricky Stenhouse, Jr.",Milwaukee / Fastenal Patriotic (Jack Roush),Ford,400,running,2,22,0,Charlotte
15,16,18,6,Trevor Bayne,Ford EcoBoost Patriotic (Jack Roush),Ford,400,running,0,21,0,Charlotte
16,17,14,48,Jimmie Johnson,Lowe's Patriotic (Rick Hendrick),Chevrolet,400,running,35,36,0,Charlotte
17,18,26,47,A.J. Allmendinger,Harris Teeter Express Lane / Klondike / Heinz (JTG-Daugherty Racing),Chevrolet,399,running,0,19,0,Charlotte
18,19,21,95,Michael McDowell,WRL General Contractors (Leavine Family Racing),Chevrolet,399,running,0,18,0,Charlotte
19,20,29,37,Chris Buescher,Kleenex / Cars 3 (JTG-Daugherty Racing),Chevrolet,399,running,0,17,0,Charlotte
20,21,23,22,Joey Logano,Shell / Pennzoil (Roger Penske),Ford,399,running,0,16,0,Charlotte
21,22,25,43,Regan Smith,United States Air Force (Richard Petty Motorsports),Ford,399,running,0,0,0,Charlotte
22,23,28,38,David Ragan,Jacob Companies Camo (Bob Jenkins),Ford,397,running,0,14,0,Charlotte
23,24,7,21,Ryan Blaney,Motorcraft / Quick Lane Tire & Auto Center (Wood Brothers),Ford,396,running,0,17,0,Charlotte
24,25,15,10,Danica Patrick,Code 3 Associates (Stewart Haas Racing),Ford,396,running,7,12,0,Charlotte
25,26,33,7,J.J. Yeley,"Accell Construction / Hope For The Warriors (Tommy Baldwin, Jr.)",Chevrolet,395,running,0,0,0,Charlotte
26,27,32,23,Gray Gaulding,Bubba Burger / We Salute You (BK Racing),Toyota,393,running,0,10,0,Charlotte
27,28,31,34,Landon Cassill,"CSX ""Play It Safe"" (Bob Jenkins)",Ford,393,running,0,9,0,Charlotte
28,29,36,51,Timmy Hill,CharliesSoap.com (Rick Ware),Chevrolet,384,running,0,0,0,Charlotte
29,30,35,15,Reed Sorenson,Low T Centers (Jay Robinson),Chevrolet,375,running,0,7,0,Charlotte
30,31,37,55,Derrike Cope,Twin Peaks (Jay Robinson),Toyota,327,running,0,6,0,Charlotte
